state,"voter tunout ratio"
Lakshadweep,85.1782
Nagaland,82.9112
Manipur,82.5352
Tripura,82.3482
"West Bengal",81.7228
Assam,81.5692
Puducherry,81.2361
"Arunachal Pradesh",81.1500
Sikkim,81.0236
"Andhra Pradesh",80.2227
"Dadra & Nagar Haveli",79.5840
Kerala,77.7918
Goa,75.0984
Odisha,73.2177
"Tamil Nadu",72.3917
"Himachal Pradesh",72.2443
"Daman & Diu",71.8490
Chhattisgarh,71.5930
Meghalaya,71.4035
"Madhya Pradesh",71.1633
Chandigarh,70.5965
Haryana,70.2305
Karnataka,68.7719
Jharkhand,66.7800
Rajasthan,66.2660
Punjab,65.8864
"Andaman & Nicobar Islands",65.0910
Gujarat,64.4085
Mizoram,63.0465
Telangana,62.7525
Uttarakhand,61.6437
Maharashtra,60.9564
"NCT OF Delhi",60.5753
"Uttar Pradesh",59.1793
Bihar,57.2996
"Jammu & Kashmir",44.8420
