state_id,category_id,general_votes,postal_votes,total_votes,total_electors
0,NULL,144597,377,144974,25988090
0,0,2164970,12148,2177118,52466756
0,2,3414611,11417,3426028,85847674
0,3,12317488,50725,12368213,298614099
1,NULL,193746,1834,195580,38946048
1,0,889791,5504,895295,17255645
1,2,4821728,26232,4847960,131330608
1,3,24181547,130473,24312020,377696693
2,NULL,6264,57,6321,759344
2,0,574500,16135,590635,4511232
3,NULL,147020,37,147057,18837713
3,0,2692993,1410,2694403,20126375
3,2,1124758,1208,1125966,33132664
3,3,11115235,3222,11118457,172007892
4,NULL,580865,99,580964,63800160
4,0,106915,2,106917,13641961
4,2,5549785,4983,5554768,199747057
4,3,29632874,9809,29642683,758168433
5,NULL,10066,37,10103,1060777
5,3,804581,2316,806897,10152119
6,NULL,452813,2072,454885,40603104
6,0,4838302,21298,4859600,71234805
6,2,2089498,9192,2098690,109455940
6,3,18319521,91307,18410828,343416964
7,NULL,34213,7,34220,16097233
7,2,2513493,512,2514005,87589209
7,3,8943580,3346,8946926,280361664
8,NULL,29119,36,29155,4810071
8,0,2216,2,2218,2517202
8,2,730285,968,731253,10579841
8,3,2331303,4571,2335874,32910372
9,NULL,31543,7,31550,7183129
9,0,101000,835,101835,5008282
9,2,44391,17,44408,11799836
9,3,3386314,2756,3389070,88448241
10,NULL,257786,95,257881,46209813
10,0,2004897,690,2005587,44363082
10,2,5493535,2964,5496499,214423184
10,3,23263014,15880,23278894,463398942
11,NULL,210370,193,210563,24326650
11,0,2655,0,2655,1243730
11,2,1925249,3023,1928272,68697959
11,3,15805159,29246,15834405,257970661
12,NULL,391697,140,391837,48121301
12,0,6514562,6635,6521197,116480640
12,2,3772014,2081,3774095,143345512
12,3,18939386,13292,18952678,379220937
13,NULL,432708,463,433171,80798823
13,0,4557649,4401,4562050,84589021
13,2,5643342,8929,5652271,409910895
13,3,38025995,43932,38069927,1030629862
14,NULL,7504,0,7504,1774369
14,0,769362,198,769560,9190090
14,3,635530,42,635572,6842880
15,NULL,30131,14,30145,1567241
15,0,1047724,189,1047913,9018922
16,NULL,6410,85,6495,702170
16,0,419291,7415,426706,2106510
17,NULL,2695,1,2696,1182972
17,0,1035666,548,1036214,3548916
18,NULL,58740,14,58754,19608161
18,2,4682663,1529,4684192,190086980
18,3,9100428,1758,9102186,192160459
19,NULL,327610,301,327911,42994657
19,0,3278566,7967,3286533,61490655
19,2,4405851,11175,4417026,171929685
19,3,19015622,63550,19079172,317851188
20,NULL,4259,73,4332,370770
20,0,6967,222,7189,370770
20,3,288341,9105,297446,1853850
21,NULL,574685,818,575503,53658879
21,0,5320,0,5320,2810609
21,2,7589486,14479,7603965,361330352
21,3,32366911,55450,32422361,845492677
22,NULL,23593,190,23783,2388822
22,0,946592,6505,953097,16180404
22,3,1038621,8328,1046949,13734006
23,NULL,592057,274,592331,138810557
23,0,3653,0,3653,3359620
23,2,17130614,10959,17141573,613657927
23,3,63310688,44875,63355563,1625549530
24,NULL,570377,917,571294,62833113
24,0,3190754,4686,3195440,64248886
24,2,13519853,20485,13540338,229123413
24,3,34278826,45930,34324756,410415210
25,NULL,190919,8,190927,20349796
25,0,4044904,1048,4045952,101580978
25,2,993383,1258,994641,29592461
25,3,7750852,568,7751420,231450067
26,NULL,47958,85,48043,7127057
26,2,657336,1180,658516,18851592
26,3,3671777,13554,3685331,90335398
27,NULL,1563,1,1564,269360
27,0,1587,0,1587,269360
27,3,187063,114,187177,3771040
28,NULL,3105,1,3106,615214
28,2,2604,0,2604,1230428
28,3,447615,130,447745,9228210
29,NULL,2962,0,2962,196597
29,0,162324,0,162324,2162567
30,NULL,1316,0,1316,111827
30,3,85912,5,85917,447308
31,NULL,39634,56,39690,12711164
31,2,1356015,2846,1358861,60012171
31,3,6861942,11273,6873215,205183404
32,NULL,123,0,123,49922
32,0,43116,0,43116,299532
33,NULL,22267,1,22268,901357
33,2,16265,0,16265,7210856
33,3,701218,266,701484,19829854
