state_id,party_id,general_votes,postal_votes,total_votes,total_electors
0,NULL,23256,32,23288,16608149
0,1,39285,101,39386,12873709
0,9,807,2,809,1893741
0,24,1592,1,1593,1823217
0,25,2015,0,2015,3431519
0,27,680005,127,680132,8392281
0,46,527,2,529,3183083
0,64,593,3,596,3183083
0,66,7036,0,7036,2921548
0,80,2006778,8051,2014829,12748813
0,92,9315,29,9344,6478522
0,110,218050,422,218472,25988090
0,123,187266,436,187702,1440267
0,126,108130,328,108458,2986583
0,159,2599,4,2603,1893741
0,163,4375243,18418,4393661,24547823
0,164,655810,631,656441,175006490
0,173,784,2,786,1893741
0,176,871,2,873,1893741
0,227,157530,718,158248,3183083
0,234,7111,1,7112,3359383
0,236,5919,1,5920,2925066
0,259,485,0,485,1823217
0,260,4768,1,4769,1550810
0,263,5081,1,5082,2976165
0,269,144597,377,144974,25988090
0,292,97636,37,97673,20186909
0,326,5550,1,5551,1492240
0,330,45976,1,45977,1425355
0,333,8609,0,8609,1425355
0,334,40505,2,40507,6024570
0,335,1813,0,1813,1893741
0,343,2057,1,2058,1893741
0,376,7951,2,7953,3183083
0,377,1388,2,1390,3183083
0,386,598,0,598,1823217
0,394,552,2,554,1893741
0,406,2008728,8080,2016808,13239277
0,407,2310,1,2311,1893741
0,408,793,9,802,3183083
0,412,6269393,31800,6301193,25988090
0,427,83038,84,83122,3047003
0,428,819316,4955,824271,20146435
1,NULL,240833,2142,242975,42727017
1,1,62487,614,63101,21599310
1,9,56832,3,56835,2185164
1,25,894,39,933,1550440
1,27,5586,12,5598,1576945
1,43,2550,15,2565,1550440
1,46,2211,3,2214,2185164
1,49,12029,13,12042,4744801
1,80,2067596,9483,2077079,6109991
1,110,178416,679,179095,36227212
1,124,6617,10,6627,2832016
1,126,49350,716,50066,2846501
1,128,7727,19,7746,2951914
1,145,2586,8,2594,1572017
1,150,3895,1,3896,1487791
1,159,8591,104,8695,7017086
1,162,6368,22,6390,2820728
1,163,1179798,4870,1184668,38946048
1,164,292444,781,293225,200683256
1,173,1399,12,1411,2185164
1,178,885,3,888,1550440
1,179,3795,14,3809,1550440
1,236,7080,19,7099,5127789
1,269,193746,1834,195580,38946048
1,273,1454,1,1455,1572017
1,292,77992,207,78199,33127181
1,311,4106,6,4112,1606127
1,317,3459,14,3473,1418290
1,330,11759,19,11778,4101183
1,331,2009,16,2025,2971716
1,333,1614,0,1614,1481791
1,335,9696,7,9703,2776155
1,338,4430,91,4521,1446496
1,374,11381,12,11393,1481791
1,393,6542,0,6542,1536894
1,394,945,7,952,1536894
1,406,12015641,66781,12082422,32836057
1,408,1737,28,1765,2185164
1,412,431084,3993,435077,2185164
1,427,9515,14,9529,3046304
1,428,13099733,71431,13171164,38946048
2,1,3519,128,3647,446640
2,31,8832,303,9135,446640
2,80,265038,10306,275344,759344
2,163,242255,3829,246084,759344
2,164,2328,34,2362,446640
2,219,941,39,980,446640
2,260,5910,155,6065,446640
2,269,6264,57,6321,759344
2,289,45677,1341,47018,759344
3,NULL,10800,0,10800,3437946
3,1,28596,17,28613,11292069
3,22,577468,262,577730,16630011
3,25,20573,6,20579,6554459
3,31,106632,29,106661,16969486
3,32,2236939,673,2237612,14246138
3,80,5504948,2204,5507152,17332241
3,96,330063,43,330106,3021148
3,123,28909,21,28930,1189486
