state_id,party_id,general_votes,postal_votes,total_votes,total_electors
0,9,555,0,555,1968276
0,25,1458,0,1458,2443112
0,27,517239,232,517471,1957931
0,43,9547,6,9553,8661893
0,47,6833,4,6837,1489790
0,80,3619977,6196,3626173,29708615
0,92,14821,10,14831,11689165
0,110,45443,51,45494,8828627
0,123,73829,43,73872,3052418
0,125,82127,64,82191,3099789
0,128,1688,1,1689,4411388
0,163,5491524,5162,5496686,29708615
0,164,586475,84,586559,489573536
0,236,18423,7,18430,5588973
0,263,1058,1,1059,3926207
0,269,190584,214,190798,29708615
0,292,19072,17,19089,18388335
0,333,1415,1,1416,1628033
0,335,2597,1,2598,1479091
0,359,2702,3,2705,1489790
0,377,2624,0,2624,1603318
0,407,1660,0,1660,1513809
0,412,7692130,4718,7696848,29708615
0,445,1223,0,1223,2443112
0,467,3673,1,3674,3130634
0,475,29182,1,29183,1666770
0,522,13544,0,13544,4891327
0,571,1005,3,1008,1585980
0,609,1894,1,1895,1666770
0,623,8316,7,8323,12127569
0,624,2010,2,2012,1506102
0,635,1056,0,1056,1651543
0,647,85716,65,85781,12685938
0,707,2148,7,2155,2443112
0,722,8005,2,8007,1489790
0,734,4179,0,4179,2443112
0,743,719,1,720,3150313
0,830,3501,0,3501,1479091
0,838,3925,2,3927,7179405
0,846,5961,2,5963,10425938
0,856,2776,3,2779,3571594
0,865,3406,1,3407,1513809
0,866,521,0,521,1968276
0,867,56969,104,57073,1424385
0,873,1047,1,1048,1585980
0,897,1319,1,1320,1513809
1,25,1679,8,1687,3167150
1,43,1502,8,1510,3173550
1,47,1752,5,1757,1534256
1,49,1563,0,1563,1650453
1,66,645,4,649,1603220
1,80,297033,6952,303985,37859029
1,110,83061,552,83613,4685623
1,123,26344,192,26536,3234490
1,124,4431,9,4440,3085293
1,125,40747,364,41111,4951973
1,128,4443,1,4444,1521363
1,162,1015,2,1017,1706119
1,163,404368,2609,406977,39405967
1,164,247742,283,248025,158116230
1,173,2385,2,2387,4870323
1,236,583,0,583,1439691
1,269,467918,904,468822,39405967
1,273,1326,15,1341,3025140
1,292,27239,100,27339,31681423
1,311,365,3,368,1570330
1,325,3449,11,3460,1546938
1,331,994,2,996,1534256
1,334,8600,14,8614,7886952
1,335,1804,0,1804,1459556
1,375,7289,4,7293,1573009
1,385,6748,5,6753,3012700
1,406,12434987,80358,12515345,39405967
1,421,4860,4,4864,5185872
1,428,15414453,122553,15537006,39405967
1,468,1261,2,1263,1503980
