state_id,pc_id,general_votes,postal_votes,total_votes,total_electors
0,0,1062895,835,1063730,1489790
0,1,969198,853,970051,1479091
0,2,1146538,1159,1147697,1651543
0,3,1061622,1146,1062768,1553385
0,4,1043843,522,1044365,1498666
0,5,1149490,733,1150223,1603318
0,6,1561400,1663,1563063,3150313
0,7,914154,952,915106,1968276
0,8,877267,605,877872,1957931
0,9,983891,743,984634,1506102
0,10,989048,799,989847,1588111
0,11,1174750,953,1175703,1585980
0,12,1211256,1375,1212631,1628033
0,13,1060412,1233,1061645,1666770
0,14,982734,801,983535,1424385
0,15,1138425,1406,1139831,1513809
0,546,1298953,1241,1300194,2443112
1,17,1066978,7560,1074538,1451418
1,18,1143011,14318,1157329,1553860
1,19,1208909,8981,1217890,1503980
1,20,1233026,6728,1239754,1829300
1,21,1232881,5610,1238491,1521363
1,22,1227399,7256,1234655,1563930
1,23,1224547,8348,1232895,1459556
1,24,1244688,5739,1250427,1534256
1,25,1168788,8950,1177738,1439691
1,26,1322048,5875,1327923,1594950
1,27,1235472,9098,1244570,1473347
1,28,1273132,4579,1277711,1652994
1,29,1346210,5264,1351474,1706119
1,30,1429525,7895,1437420,1670391
1,31,1254570,11922,1266492,1468671
1,32,1323296,19072,1342368,1556469
1,33,1288476,10617,1299093,1603220
1,34,1182157,6170,1188327,1573009
1,35,1334375,7931,1342306,1664160
1,36,1326843,11671,1338514,1578218
1,37,1219648,8594,1228242,1570330
1,38,1273934,13102,1287036,1672845
1,39,1304262,9253,1313515,1650453
1,40,1212774,11580,1224354,1546938
1,41,1309172,10300,1319472,1566499
2,42,344123,14187,358310,463775
2,43,282854,10927,293781,339788
3,44,1058619,1453,1060072,1340173
3,45,944802,4894,949696,1195720
3,46,615872,1863,617735,795945
3,47,1682616,2389,1685005,1858566
3,48,1469564,9921,1479485,1776358
3,49,1452238,6311,1458549,1685149
3,50,1761240,2517,1763757,2181319
3,51,1501655,4452,1506107,1800237
3,52,1186335,3861,1190196,1499639
3,53,1490329,3146,1493475,1794648
3,54,1421671,3016,1424687,1734938
3,55,1054239,3726,1057965,1365035
3,56,1013677,2071,1015748,1314319
3,57,1280028,3561,1283589,1708013
4,58,1029688,2402,1032090,1665502
4,59,1007883,5053,1012936,1633824
4,60,992810,6590,999400,1658672
4,61,1000841,3718,1004559,1686215
4,62,1034367,4482,1038849,1752454
4,63,962294,1414,963708,1792798
4,64,1059252,1310,1060562,1852417
4,65,1109840,965,1110805,1690620
4,66,1169098,532,1169630,1805439
4,67,1100991,612,1101603,1659651
4,68,1117024,710,1117734,1653353
4,69,1153151,789,1153940,1765312
4,70,1145723,1551,1147274,1884883
4,71,962082,2914,964996,1654811
4,72,1053964,4122,1058086,1730553
4,73,1072101,2629,1074730,1735983
4,74,1015394,9482,1024876,1839514
4,75,982151,2659,984810,1799551
4,76,968891,3812,972703,1807768
4,77,938708,4312,943020,1667253
4,78,1004086,2731,1006817,1823664
4,79,966779,2505,969284,1612300
4,80,1017133,1892,1019025,1679030
4,81,1217416,8178,1225594,1958382
4,82,965112,1701,966813,1676454
4,83,1040096,2422,1042518,1823820
4,84,994120,1686,995806,1699394
4,85,1031021,5247,1036268,1888025
4,86,1029021,2265,1031286,2114809
4,87,978602,3683,982285,2146008
4,88,1073175,4574,1077749,1925479
4,89,1072919,7765,1080684,2089353
4,90,980291,6570,986861,1829373
4,91,969244,5505,974749,1787878
4,92,864507,4291,868798,1771254
4,93,816974,5091,822065,1588454
4,94,932832,2069,934901,1742883
4,95,955102,2146,957248,1704596
4,96,935355,7107,942462,1899747
4,97,947306,1831,949137,1718814
5,98,427594,1034,428628,556761
5,99,423657,918,424575,579352
6,100,1015195,8003,1023198,1744321
6,101,1096970,5111,1102081,1697384
6,102,1120373,5883,1126256,1807043
6,103,1077047,4891,1081938,1648869
6,104,1208168,10185,1218353,1801717
6,105,1275453,8637,1284090,1945772
6,106,1109296,7071,1116367,1811851
6,107,991051,5973,997024,1643317
6,108,1069251,8475,1077726,1849429
6,109,1189712,5559,1195271,1884339
6,110,943341,6606,949947,1662368
6,111,1004782,6183,1010965,1657166
6,112,997025,7718,1004743,1642864
6,113,906781,2386,909167,1628451
6,114,1032120,9159,1041279,1768297
6,115,1105707,2954,1108661,1655870
6,116,1094038,4595,1098633,1804028
6,117,1076137,7539,1083676,1744762
6,118,1057486,5726,1063212,1598939
6,119,1217906,4442,1222348,1794896
6,120,1226842,5617,1232459,1671253
6,121,1145510,4215,1149725,1564519
6,122,1343651,4387,1348038,1826526
6,123,1066359,2053,1068412,1655704
6,124,1303081,4937,1308018,1971658
6,125,1256838,3539,1260377,1671030
7,126,1313394,2841,1316235,1853711
7,127,1227462,2740,1230202,1657335
7,128,1367370,2116,1369486,1803349
7,129,1175100,4769,1179869,1631817
7,130,1298026,2696,1300722,1904193
7,131,1123776,5756,1129532,1592611
7,132,1209674,10897,1220571,1737133
7,133,1147140,13975,1161115,1654317
7,134,1441438,5071,1446509,2150728
7,135,1324467,2828,1327295,2071816
8,136,991142,15847,1006989,1427338
8,137,930691,10680,941371,1281462
8,138,972365,16400,988765,1362269
8,139,907568,6039,913607,1259085
9,140,452114,3436,455550,1317738
9,141,186366,466,186832,1294671
9,142,122849,2047,124896,1397779
9,143,123293,3133,126426,179232
9,144,1169095,11028,1180123,1685816
9,145,1455290,23505,1478795,2047302
10,146,1212345,5204,1217549,1612556
10,147,1199117,6112,1205229,1779350
10,148,1200756,3857,1204613,1704010
10,149,1108781,2573,1111354,1797587
10,150,1185645,3716,1189361,1945765
10,151,1122152,2233,1124385,1928204
10,152,1114152,3015,1117167,1775095
10,153,1187710,2637,1190347,1736693
10,154,1219077,2849,1221926,1751734
10,155,1263296,3383,1266679,1708510
10,156,1210518,2987,1213505,1727311
10,157,1150261,3219,1153480,1556599
10,158,1192293,2293,1194586,1633064
10,159,1282279,1298,1283577,1676668
10,160,1149131,1881,1151012,1513806
10,161,1274438,3114,1277552,1652999
10,162,1343213,1826,1345039,1724976
10,163,1243035,2915,1245950,1760633
10,164,1241528,3330,1244858,1608545
10,165,1376366,2844,1379210,1712004
10,166,1312478,5563,1318041,1896333
10,167,1267715,2943,1270658,1686333
10,168,1620398,1508,1621906,2497458
10,169,1555694,3765,1559459,2849250
10,170,1194705,2529,1197234,2204817
10,171,1185137,3354,1188491,2215489
10,172,1385069,1894,1386963,1808780
10,173,1256371,2180,1258551,1629961
11,174,1096143,3908,1100051,1363937
11,175,1047925,5917,1053842,1266550
11,176,1060838,4781,1065619,1288926
11,177,1089915,2282,1092197,1359679
11,178,1071533,4660,1076193,1318024
11,179,1032997,1621,1034618,1370544
11,180,1016341,924,1017265,1356803
11,181,1025983,2266,1028249,1323010
11,182,1015892,2851,1018743,1266794
11,183,1040318,1551,1041869,1337110
11,184,988883,1341,990224,1230197
11,185,965801,1402,967203,1245972
11,186,917568,1729,919297,1204191
11,187,907719,2620,910339,1206698
11,188,1082522,6206,1088728,1356701
11,189,964289,6746,971035,1308102
11,190,1022693,3860,1026553,1382741
11,191,961288,6835,968123,1296720
11,192,999258,5630,1004888,1350710
11,193,1003735,6445,1010180,1371427
12,194,1132768,4522,1137290,1837723
12,195,954959,5728,960687,1765334
12,196,1192526,3570,1196096,2000744
12,197,1172627,5796,1178423,1675724
12,198,1035874,1301,1037175,1583129
12,199,1094935,1777,1096712,1647399
12,200,1163792,434,1164226,1768777
12,201,1256770,1013,1257783,1842095
12,202,1111916,1740,1113656,1575064
12,203,1009607,3644,1013251,1679534
12,204,1280946,1759,1282705,1845547
12,205,1234773,3085,1237858,1656474
12,206,1262611,962,1263573,1819893
12,207,1513959,3296,1517255,1951267
12,208,1366885,5133,1372018,1767725
12,209,1246210,1821,1248031,1514783
12,210,1264679,1190,1265869,1706141
12,211,1246409,3835,1250244,1741604
12,212,1406236,1718,1407954,2142861
12,213,1258060,2269,1260329,1694329
12,214,1396744,2202,1398946,1760503
12,215,1250465,2046,1252511,1661229
12,216,1368236,2431,1370667,1760875
12,217,1397455,3054,1400509,1851112
12,218,1342545,1587,1344132,1786151
12,219,1626736,2372,1629108,2350580
12,220,1425298,2309,1427607,1834385
12,221,1466341,1797,1468138,1909055
12,222,1356580,1277,1357857,1737437
13,223,1277991,3747,1281738,1871099
13,224,1079856,5182,1085038,1908173
13,225,1080576,7701,1088277,1931400
13,226,1088693,4278,1092971,1775051
13,227,1118069,2290,1120359,1762918
13,228,1116902,2538,1119440,1865169
13,229,1104947,7438,1112385,1833091
13,230,1067158,5412,1072570,1743283
13,231,1192429,4315,1196744,1922764
13,232,1181715,4336,1186051,2161096
13,233,1235560,9371,1244931,1811556
13,234,1137358,5340,1142698,1581366
13,235,1233786,4688,1238474,1910188
13,236,1169977,4243,1174220,1916185
13,237,1152195,5321,1157516,1733729
13,238,1119255,10095,1129350,1719322
13,239,1251511,1271,1252782,1985228
13,240,1203821,4318,1208139,1867220
13,241,1196449,1772,1198221,1886284
13,242,1134754,2877,1137631,1732936
13,243,1118553,2679,1121232,1885064
13,244,1201186,755,1201941,1885600
13,245,1002763,2409,1005172,1890100
13,246,887955,2358,890313,1965676
13,247,1167138,3380,1170518,2370903
13,248,988056,1703,989759,1647350
13,249,940131,1366,941497,1732263
13,250,907228,1765,908993,1588693
13,251,900451,1333,901784,1679891
13,252,795478,1772,797250,1440380
13,253,799501,2110,801611,1554176
13,254,1020169,5298,1025467,1652965
13,255,1365515,3357,1368872,2298080
13,256,1033824,1412,1035236,2075824
13,257,1299242,5486,1304728,2114663
13,258,1290395,2722,1293117,2175529
13,259,1191905,11892,1203797,1861396
13,260,1022439,6923,1029362,1587079
13,261,1349138,3261,1352399,2045405
13,262,1194768,9962,1204730,1889740
13,263,1170464,6078,1176542,1886657
13,264,1081254,3260,1084514,1851654
13,265,1210732,5587,1216319,1909574
13,266,1178823,11135,1189958,1809109
13,267,1109260,6174,1115434,1848489
13,268,897355,3747,901102,1455577
13,269,1325408,5444,1330852,1880496
13,270,1246256,5955,1252211,1776555
14,271,754573,4728,759301,937464
14,272,851835,6194,858029,1022099
15,273,782573,1617,784190,1197806
15,274,582270,771,583041,716990
16,275,496780,2841,499621,792464
17,276,1002142,4215,1006357,1213777
18,277,1093428,10459,1103887,1595284
18,278,856658,2855,859513,1507875
18,279,1040636,5396,1046032,1638842
18,280,1018209,789,1018998,1617018
18,281,981842,8949,990791,1597500
18,282,1077521,4206,1081727,1698876
18,283,1044888,2067,1046955,1683325
18,284,983486,2462,985948,1502861
18,285,971009,3938,974947,1541971
18,286,1166717,5316,1172033,1618419
18,287,1195810,5000,1200810,1621671
18,288,1102353,3535,1105888,1529431
18,289,1175528,2375,1177903,1739600
19,290,1444394,7371,1451765,1943486
19,292,1320151,8271,1328422,2019104
19,293,1179887,19040,1198927,1937882
19,294,1311349,15620,1326969,2041612
19,295,1263296,13397,1276693,1952542
19,296,1447924,8480,1456404,2127021
19,297,1252253,13421,1265674,1888524
19,298,1138168,8629,1146797,1943794
19,299,994421,3623,998044,1810574
19,300,1056647,6187,1062834,1730289
19,301,1228555,4903,1233458,1945992
19,302,1256878,5336,1262214,1876346
19,303,1196036,7088,1203124,1933169
19,304,1345225,14574,1359799,2161663
19,305,1334985,11258,1346243,1956755
19,306,1417941,4330,1422271,1941231
19,307,1360799,820,1361619,2071244
19,308,1448203,6315,1454518,2069559
19,309,1437470,2201,1439671,1975368
19,310,1454489,4271,1458760,2015911
19,311,1234017,5828,1239845,1912911
19,312,1307337,3176,1310513,1997328
19,313,1360132,6902,1367034,1948010
19,314,1369276,592,1369868,1903870
19,532,1095698,3900,1099598,1851628
20,315,339880,11866,351746,434128
21,316,1403349,4840,1408189,1946870
21,317,952770,2775,955545,1487681
21,318,1123410,2447,1125857,1973533
21,319,782686,2764,785450,1332300
21,320,1403178,3604,1406782,2253448
21,321,1232417,5195,1237612,1643992
21,322,1169677,8383,1178060,1500016
21,323,1025042,1013,1026055,1438643
21,324,1157793,3576,1161369,1530404
21,325,1212311,10894,1223205,1485804
21,326,1144549,7180,1151729,1473862
21,327,1137225,6682,1143907,1449150
21,328,1130799,4741,1135540,1444335
21,329,1198423,5952,1204375,1528938
21,330,1249755,5704,1255459,1612512
21,331,1129890,3884,1133774,1413599
21,332,1062073,5790,1067863,1462246
21,333,1115693,3891,1119584,1530014
21,334,1007774,2945,1010719,1366060
21,335,1245644,5241,1250885,1958904
21,336,1077420,4455,1081875,1520504
21,337,1155607,4439,1160046,1541881
21,338,1097947,5218,1103165,1387286
21,339,1040711,7351,1048062,1508963
21,340,1094754,8013,1102767,1391853
21,341,1038741,4461,1043202,1364038
21,342,1149385,3807,1153192,1480222
21,343,1092917,4326,1097243,1484842
21,344,997843,4365,1002208,1303649
21,345,1052570,6653,1059223,1461052
21,346,1081167,3301,1084468,1552019
21,347,1011500,4526,1016026,1539026
21,348,1167919,5570,1173489,1561040
21,349,1065342,9393,1074735,1484256
21,350,1061124,5022,1066146,1559740
21,351,985809,5454,991263,1427783
21,352,1055595,9493,1065088,1492317
21,353,1032530,7820,1040350,1547800
21,354,1042625,5752,1048377,1501250
22,355,1101362,6393,1107755,1352857
22,356,1040913,4504,1045417,1261861
23,357,1228915,2831,1231746,1739082
23,358,1120863,3184,1124047,1666703
23,359,1154192,5879,1160071,1698003
23,360,1096313,4450,1100763,1664125
23,361,1005955,3501,1009456,1586117
23,362,1279669,2537,1282206,1958939
23,363,1060161,760,1060921,1679506
23,364,1182209,1260,1183469,1828764
23,365,1167308,1874,1169182,1646435
23,366,1212076,4337,1216413,1892931
23,367,1037061,7833,1044894,1616476
23,368,1521892,2564,1524456,2728978
23,369,1389655,3297,1392952,2302960
23,370,1118442,5187,1123629,1787925
23,371,1156030,7154,1163184,1887127
23,372,1144035,6259,1150294,1864320
23,373,1098112,4619,1102731,1807893
23,374,1141455,3868,1145323,1937690
23,375,1031004,6147,1037151,1718837
23,376,1072480,3386,1075866,1790510
23,377,972697,3821,976518,1723236
23,378,997853,1754,999607,1621295
23,379,1079101,2010,1081111,1891576
