pc_id,state_id,pc_name
0,0,Adilabad
1,0,Peddapalle
2,0,Karimnagar
3,0,Nizamabad
4,0,Zahirabad
5,0,Medak
6,0,Malkajgiri
7,0,Secundrabad
8,0,Hyderabad
9,0,Mahbubnagar
10,0,Nagarkurnool
11,0,Nalgonda
12,0,Bhongir
13,0,Warangal
14,0,Mahabubabad
15,0,Khammam
16,1,Chelvella
17,1,Aruku
18,1,Srikakulam
19,1,Vizianagaram
20,1,Visakhapatnam
21,1,Anakapalli
22,1,Kakinada
23,1,Amalapuram
24,1,Rajahmundry
25,1,Narsapuram
26,1,Eluru
27,1,Machilipatnam
28,1,Vijayawada
29,1,Guntur
30,1,Narasaraopet
31,1,Bapatla
32,1,Ongole
33,1,Nandyal
34,1,Kurnool
35,1,Anantapur
36,1,Hindupur
37,1,Kadapa
38,1,Nellore
39,1,Tirupati
40,1,Rajampet
41,1,Chittoor
42,2,Arunachal West
43,2,Arunachal East
44,3,Karimganj
45,3,Silchar
46,3,Autonomous District
47,3,Dhubri
48,3,Kokrajhar
49,3,Barpeta
50,3,Gauhati
51,3,Mangaldoi
52,3,Tezpur
53,3,Nowgong
54,3,Kaliabor
55,3,Jorhat
56,3,Dibrugarh
57,3,Lakhimpur
58,4,Valmiki Nagar
59,4,Paschim Champaran
60,4,Purvi Champaran
61,4,Sheohar
62,4,Sitamarhi
63,4,Madhubani
64,4,Jhanjharpur
65,4,Supaul
66,4,Araria
67,4,Kishanganj
68,4,Katihar
69,4,Purnia
70,4,Madhepura
71,4,Darbhanga
72,4,Muzaffarpur
73,4,Vaishali
74,4,Gopalganj (Sc)
75,4,Siwan
76,4,Maharajganj
77,4,Saran
78,4,Hajipur (Sc)
79,4,Ujiarpur
80,4,Samastipur (Sc)
81,4,Begusarai
82,4,Khagaria
83,4,Bhagalpur
84,4,Banka
85,4,Munger
86,4,Nalanda
87,4,Patna Sahib
88,4,Pataliputra
89,4,Arrah
90,4,Buxar
91,4,Sasaram (Sc)
92,4,Karakat
93,4,Jahanabad
94,4,Aurangabad
95,4,Gaya (Sc)
96,4,Nawada
97,4,Jamui (Sc)
98,5,North Goa
99,5,South Goa
100,6,Kachchh
101,6,Banaskantha
102,6,Patan
103,6,Mahesana
104,6,Sabarkantha
105,6,Gandhinagar
106,6,Ahmedabad East
107,6,Ahmedabad West
108,6,Surendranagar
109,6,Rajkot
110,6,Porbandar
111,6,Jamnagar
112,6,Junagadh
113,6,Amreli
114,6,Bhavnagar
115,6,Anand
116,6,Kheda
117,6,Panchmahal
118,6,Dahod
119,6,Vadodara
120,6,Chhota Udaipur
121,6,Bharuch
122,6,Bardoli
123,6,Surat
124,6,Navsari
125,6,Valsad
126,7,Ambala
127,7,Kurukshetra
128,7,Sirsa
129,7,Hisar
130,7,Karnal
131,7,Sonipat
132,7,Rohtak
