candidate,sex,age,general_votes,postal_votes,total_votes,total_electors,state_id,category_id,party_id,pc_id
KISHORE CHANDRA DEO,M,72,336163,1938,338101,1451418,1,0,406,17
Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,M,54,17578,289,17867,1451418,1,0,80,17
GODDETI. MADHAVI,F,26,557561,4629,562190,1451418,1,0,428,17
SHRUTI DEVI VYRICHERLA,F,46,17656,74,17730,1451418,1,0,163,17
GANGULAIAH VAMPURU.,M,49,42245,549,42794,1451418,1,0,647,17
SWAMULA. SUBRAHMANYAM,M,50,4705,5,4710,1451418,1,0,627,17
ANUMULA VAMSIKRISHNA,M,41,10211,29,10240,1451418,1,0,164,17
KANGALA BALUDORA,M,61,13810,16,13826,1451418,1,0,164,17
NARAVA SATYAVATHI,F,37,11231,5,11236,1451418,1,0,164,17
BIDDIKA RAMAYYA.,M,57,7863,4,7867,1451418,1,0,164,17
NOTA,null,null,47955,22,47977,1451418,1,null,269,17
KINJARAPU RAM MOHAN NAIDU,M,32,529213,5331,534544,1553860,1,3,406,18
DOLA JAGAN,M,53,13456,289,13745,1553860,1,3,163,18
DUVVADA SRINIVAS,M,52,520931,6960,527891,1553860,1,3,428,18
PERLA SAMBA MURTHY,M,58,7357,1033,8390,1553860,1,3,80,18
MATTA SATISH CHAKRAVARTHY,M,37,1441,7,1448,1553860,1,3,292,18
METTA RAMARAO,M,53,31319,637,31956,1553860,1,3,647,18
NAMBALLA KRISHNA MOHAN,M,44,4829,7,4836,1553860,1,3,164,18
NAIDUGARI RAJASEKHAR,M,35,5151,5,5156,1553860,1,3,164,18
BETHA VIVEKANANDA MAHARAJ,M,33,3814,4,3818,1553860,1,3,164,18
NOTA,null,null,25500,45,25545,1553860,1,null,269,18
Ashok Gajapathi Raju Pusapati,M,67,527307,3075,530382,1503980,1,3,406,19
Adiraju Yedla,M,52,15607,118,15725,1503980,1,3,163,19
Bellana Chandra Sekhar,M,57,573466,4952,578418,1503980,1,3,428,19
Sanyasi Raju Pakalapati,M,60,6902,364,7266,1503980,1,3,80,19
P.V.A. Ananda Sagar,M,55,4981,2,4983,1503980,1,3,823,19
Chiranjeevi Lingala,M,28,1261,2,1263,1503980,1,3,468,19
Mukka Srinivas Rao,M,39,33779,413,34192,1503980,1,3,647,19
Lagudu. Govinda Rao,M,39,787,4,791,1503980,1,3,627,19
Surya Bhavani. K,F,38,822,8,830,1503980,1,3,292,19
Yella Rao Siyyadula,M,37,1010,0,1010,1503980,1,2,164,19
Dhanalakoti Ramana,M,29,1172,4,1176,1503980,1,3,164,19
Pentapati Rajesh,M,39,1461,1,1462,1503980,1,3,164,19
Ijjurouthu Ramunaidu,M,47,4550,3,4553,1503980,1,3,164,19
Venkata Trindha Rao Veluri,M,52,6336,2,6338,1503980,1,3,164,19
NOTA,null,null,29468,33,29501,1503980,1,null,269,19
DAGGUBATI PURANDESWARI,F,58,33430,462,33892,1829300,1,3,80,20
PEDADA. RAMANIKUMARI,F,48,14550,83,14633,1829300,1,3,163,20
BHARAT MATHUKUMILLI,M,29,431093,1399,432492,1829300,1,3,406,20
M V V SATYANARAYANA,M,52,433968,2938,436906,1829300,1,3,428,20
GEORGE BANGARI,M,46,3027,1,3028,1829300,1,2,421,20
B. JAYA VENU GOPAL,M,30,1622,5,1627,1829300,1,3,292,20
V.V. LAKSHMI NARAYANA,M,53,287072,1802,288874,1829300,1,3,647,20
ANMISH VARMA,M,26,1904,11,1915,1829300,1,3,164,20
R. UDAYA GOWRI,F,44,1384,0,1384,1829300,1,3,164,20
KOTHAPALLI GEETHA,F,48,1155,3,1158,1829300,1,3,164,20
GAMPALA SOMASUNDARAM,M,76,1127,1,1128,1829300,1,3,164,20
GANNU MALLAYYA,M,70,1311,2,1313,1829300,1,3,164,20
DURGAPRASAD. GUNTU,M,51,2463,1,2464,1829300,1,3,164,20
PULAPAKA RAJA SEKHAR,M,40,2294,0,2294,1829300,1,3,164,20
NOTA,null,null,16626,20,16646,1829300,1,null,269,20
ADARI ANAND KUMAR,M,43,495381,1653,497034,1521363,1,3,406,21
Dr. Gandi Venkata Satyanarayana Rao (Dr Vikram),M,65,12888,388,13276,1521363,1,3,80,21
Dr.Beesetti Venkata Satyavathi,F,52,583210,3016,586226,1521363,1,3,428,21
Ruthala Srirama Murthy,M,49,10072,49,10121,1521363,1,3,163,21
P.S.AJAY KUMAR,M,57,2708,8,2716,1521363,1,3,124,21
K B SWAROOP,M,51,1615,6,1621,1521363,1,3,627,21
Chintala Partha Sarathi,M,56,82126,462,82588,1521363,1,3,647,21
Taadi Veera Jagadeeshwari,F,65,1801,2,1803,1521363,1,3,292,21
Vadlamuri Krishna Swaroop,M,46,4443,1,4444,1521363,1,2,128,21
Appala Naidu Tummagunta,M,37,3760,5,3765,1521363,1,3,164,21
NOTA,null,null,34877,20,34897,1521363,1,null,269,21
CHALAMALASETTY SUNIL,M,49,508361,3531,511892,1563930,1,3,406,22
MALLIPUDI SRI RAMACHANDRA MURTHY (RAMBABU),M,66,8601,39,8640,1563930,1,3,163,22
YALLA VENKATA RAMA MOHAN RAO (DORABABU),M,46,9456,140,9596,1563930,1,3,80,22
VANGA GEETHAVISWANATH,F,55,534655,2975,537630,1563930,1,3,428,22
APPALAKONDA VANGALAPUDI,M,28,2997,0,2997,1563930,1,2,698,22
B. GEETHA,F,34,1687,1,1688,1563930,1,3,742,22
GODUGU SATYANARAYANA,M,40,1723,1,1724,1563930,1,2,124,22
JYOTHULA VENKATESWARA RAO,M,62,132124,524,132648,1563930,1,3,647,22
DONAM NEELAKANTAM,M,49,980,0,980,1563930,1,2,480,22
PEDDIMSETTI. VENKATESWARARAO,M,46,812,3,815,1563930,1,3,627,22
VASAMSETTY VENKATARAMANA,M,56,1012,2,1014,1563930,1,3,25,22
SATHI VEERALAKSHMI,F,38,1117,2,1119,1563930,1,3,292,22
ANKADI SATHIBABU,M,45,1381,0,1381,1563930,1,3,164,22
KAKILETI RAVINDRA,M,41,3325,2,3327,1563930,1,2,164,22
MEDISETTI VIJAYA KUMAR,M,53,2051,0,2051,1563930,1,3,164,22
NOTA,null,null,17117,36,17153,1563930,1,null,269,22
AYYAJI VEMA MANEPALLI,M,58,11376,158,11534,1459556,1,2,80,23
GANTI HARISH MADHUR (BALAYOGI),M,28,443590,2573,446163,1459556,1,2,406,23
CHINTA ANURADHA,F,46,482003,3955,485958,1459556,1,2,428,23
JANGA GOUTHAM,M,49,7849,38,7887,1459556,1,2,163,23
CHELLE RAJANI,M,30,1231,0,1231,1459556,1,2,627,23
PANTHAGADA VIJAYA CHAKRAVARTHY,M,65,1804,0,1804,1459556,1,2,335,23
MURALIKRISHNA KANDERI,M,41,1803,1,1804,1459556,1,2,623,23
MORTHA SIVA RAMA KRISHNA,M,29,1950,4,1954,1459556,1,2,292,23
D M R SEKHAR,M,59,253740,1577,255317,1459556,1,2,647,23
REVU SUDHAKAR,M,34,2774,1,2775,1459556,1,2,164,23
NOTA,null,null,16427,41,16468,1459556,1,null,269,23
NALLURI VIJAYA SRINIVASA RAO,M,55,12678,47,12725,1534256,1,3,163,24
PARAVASTU SATYA GOPINATH DAS,M,47,12165,169,12334,1534256,1,3,80,24
MAGANTI ROOPA,F,45,459100,1290,460390,1534256,1,3,406,24
MARGANI BHARAT,M,36,578471,3553,582024,1534256,1,3,428,24
AKULA SATYANARAYANA,M,55,155164,643,155807,1534256,1,3,647,24
GEDDAM DAVID NELSON BABU,M,60,1752,5,1757,1534256,1,3,47,24
BANDARU RAJESWARA RAO,M,59,1034,1,1035,1534256,1,3,627,24
MEDA SRINIVAS,M,50,994,2,996,1534256,1,3,331,24
SANGISETTI SRINIVASA RAO,M,50,1156,5,1161,1534256,1,3,292,24
KURUVELLA BHANUCHANDAR,M,33,1242,0,1242,1534256,1,2,164,24
KOLLAPU VENU,M,41,2868,1,2869,1534256,1,2,164,24
NOTA,null,null,18064,23,18087,1534256,1,null,269,24
KANUMURU BAPIRAJU,M,71,13809,132,13941,1439691,1,3,163,25
KANUMURU RAGHU RAMA KRISHNA RAJU,M,57,444376,4858,449234,1439691,1,3,428,25
PYDIKONDALA MANIKYALA RAO,M,59,12154,260,12414,1439691,1,3,80,25
V.V. SIVA RAMA RAJU (KALAVAPUDI SIVA),M,48,414547,2011,416558,1439691,1,3,406,25
YELLA VENU GOPAL RAO,M,63,4284,2,4286,1439691,1,3,729,25
GANJI PURNIMA,F,36,867,2,869,1439691,1,3,334,25
GURUGUBILLI RAMBABU,M,52,583,0,583,1439691,1,3,236,25
G S RAJU,M,51,3468,3,3471,1439691,1,3,385,25
DASARI KRISHNA MURTHY,M,32,1603,0,1603,1439691,1,3,623,25
NALLAM SURYA CHANDRA RAO,M,59,2201,9,2210,1439691,1,3,292,25
NAGABABU KONIDELA,M,58,249188,1614,250802,1439691,1,3,647,25
K.A.PAUL,M,55,3027,19,3046,1439691,1,3,742,25
GOTTUMUKKALA SHIVAJI,M,48,1275,0,1275,1439691,1,2,164,25
NALLI RAJESH,M,36,2651,2,2653,1439691,1,2,164,25
MEDAPATI VARAHALA REDDY,M,44,2681,3,2684,1439691,1,3,164,25
NOTA,null,null,12074,35,12109,1439691,1,null,269,25
KOTAGIRI SRIDHAR,M,46,672834,3975,676809,1594950,1,3,428,26
CHINNAM RAMA KOTAYYA,M,58,8317,95,8412,1594950,1,3,80,26
JETTI GURUNADHA RAO,M,55,20284,94,20378,1594950,1,3,163,26
MAGANTTI VENKATESWARA RAO BABU,M,59,509549,1335,510884,1594950,1,3,406,26
CHINA VENKATA SURYANARAYANA JOSYULA,M,62,2932,3,2935,1594950,1,3,292,26
PENTAPATI PULLARAO,M,71,76481,346,76827,1594950,1,3,647,26
MATHE. BOBBY,M,29,1871,8,1879,1594950,1,2,334,26
V. SIVA RAMA KRISHNA,M,55,1261,0,1261,1594950,1,3,627,26
ALAGA. RAVI KUMAR,M,49,1648,0,1648,1594950,1,2,164,26
Dr.MENDEM. SANTHOSH KUMAR(PEDDABABU),M,46,3010,0,3010,1594950,1,2,164,26
NOTA,null,null,23861,19,23880,1594950,1,null,269,26
KONAKALLA NARAYANA RAO,M,68,509887,2725,512612,1473347,1,3,406,27
GUDIVAKA RAMANJANEYULU (ANJI BABU),M,35,6374,107,6481,1473347,1,3,80,27
GOLLU KRISHNA,M,55,12233,77,12310,1473347,1,3,163,27
BALASHOWRY VALLABHANENI,M,50,567592,5258,572850,1473347,1,3,428,27
PERAM SIVA NAGESWARA RAO,M,51,3625,2,3627,1473347,1,3,334,27
BANDREDDI RAMAKRISHNA,M,44,112566,876,113442,1473347,1,3,647,27
YARLAGADDA RAMA MOHANA RAO,M,56,1016,1,1017,1473347,1,3,518,27
VALLURU VENKATESWARA RAO,M,66,824,2,826,1473347,1,3,292,27
GANDHI DHANEKULA,M,70,846,0,846,1473347,1,3,164,27
NADAKUDITI NAGA GAYATHRI,F,38,772,2,774,1473347,1,3,164,27
G. V. N. BASAVA RAO,M,26,894,1,895,1473347,1,3,164,27
VIJAYA LAKSHMI CHALAPAKA,F,39,4776,13,4789,1473347,1,3,164,27
NOTA,null,null,14067,34,14101,1473347,1,null,269,27
KILARU DILEEP,M,48,18411,93,18504,1652994,1,3,80,28
